topic_id,topic_name,teach_order,scripture_refs,description
WH-001,The World Before the Flood,1,,
WH-002,The Sons of Adam and the First Civilization,2,,
WH-003,Cain and the First City,3,,
WH-004,Genealogies and the Spread of Early Humanity,4,,
WH-005,The Days of Noah and Global Corruption,5,,
WH-006,The Flood as a World-Changing Event,6,,
WH-007,Post-Flood Humanity and the Sons of Noah,7,,
WH-008,The Tower of Babel and the Division of Nations,8,,
WH-009,The Table of Nations (Genesis 10),9,,
WH-010,Origins of Languages According to the Bible,10,,
WH-011,The Birth of Nations After Babel,11,,
WH-012,The Rise of Nimrod and Early Kingdoms,12,,
WH-013,Mesopotamia in Biblical History,13,,
WH-014,The Call of Abraham and the Birth of Israel,14,,
WH-015,Ancient Canaan and Its Peoples,15,,
WH-016,Egypt in Biblical World History,16,,
WH-017,Israel’s Sojourn and Enslavement in Egypt,17,,
WH-018,The Exodus as a World Event,18,,
WH-019,The Plagues and Their Impact on Egypt,19,,
WH-020,The Red Sea Crossing and Ancient Trade Routes,20,,
WH-021,Wilderness Migrations in the Ancient World,21,,
WH-022,The Giving of the Law at Sinai,22,,
WH-023,Israel Compared to Other Ancient Nations,23,,
WH-024,The Conquest of Canaan,24,,
WH-025,Jericho and Ancient Walled Cities,25,,
WH-026,The Period of the Judges and Regional Powers,26,,
WH-027,Israel and the Philistines,27,,
WH-028,The Rise of Monarchy in Israel,28,,
WH-029,"Saul, David, and Solomon in World Context",29,,
WH-030,Jerusalem as a World Religious Center,30,,
WH-031,The Building of the First Temple,31,,
WH-032,Israel’s Trade with Tyre and Sidon,32,,
WH-033,The Queen of Sheba and International Relations,33,,
WH-034,The Division of the Kingdom,34,,
WH-035,Israel and Judah Compared to Surrounding Empires,35,,
WH-036,Assyria in Biblical History,36,,
WH-037,The Fall of Samaria,37,,
WH-038,Judah and the Babylonian Empire,38,,
WH-039,The Fall of Jerusalem (586 BC),39,,
WH-040,The Babylonian Captivity,40,,
WH-041,Life of the Exiles in Babylon,41,,
WH-042,Prophecy and World Empires,42,,
WH-043,The Rise of Persia,43,,
WH-044,Cyrus the Great and Biblical Prophecy,44,,
WH-045,The Return from Exile,45,,
WH-046,Rebuilding Jerusalem and the Temple,46,,
WH-047,Persian Rule Over the Ancient World,47,,
WH-048,Esther and Jews in the Persian Empire,48,,
WH-049,Greece Foretold by the Prophets,49,,
WH-050,Alexander the Great in Biblical Context,50,,
WH-051,The Spread of Greek Culture,51,,
WH-052,The Intertestamental Period,52,,
WH-053,Rome Foretold in Daniel,53,,
WH-054,The Roman Empire and World Order,54,,
WH-055,Roman Rule Over Judea,55,,
WH-056,Herod the Great and Roman Politics,56,,
WH-057,The Birth of Christ Under Roman Rule,57,,
WH-058,Caesar Augustus and the Census,58,,
WH-059,The Pax Romana and Gospel Spread,59,,
WH-060,Crucifixion as a Roman Practice,60,,
WH-061,The Resurrection and Its Global Impact,61,,
WH-062,The Early Church and the Roman World,62,,
WH-063,Pentecost and International Pilgrims,63,,
WH-064,The Gospel Reaching the Gentiles,64,,
WH-065,Paul’s Missionary Journeys and Trade Routes,65,,
WH-066,Persecution of Christians in the Roman Empire,66,,
WH-067,The Destruction of Jerusalem (70 AD),67,,
WH-068,Israelites Scattered Among the Nations,68,,
WH-069,The Jewish Diaspora,69,,
WH-070,The Role of Synagogues Worldwide,70,,
WH-071,Biblical Prophecy and the Scattering of Israel,71,,
WH-072,The Preservation of Israel Among Nations,72,,
WH-073,Rome’s Decline in Biblical Perspective,73,,
WH-074,The Rise of Christianity in the Roman World,74,,
WH-075,Constantine and the Christian Empire,75,,
WH-076,Church Councils and Doctrinal Shifts,76,,
WH-077,The Bible Copied and Preserved Through History,77,,
WH-078,Jerusalem Under Byzantine Rule,78,,
WH-079,The Rise of Islam and Biblical Lands,79,,
WH-080,Jerusalem Under Islamic Rule,80,,
WH-081,Crusades and the Holy Land,81,,
WH-082,Jews in Medieval Europe,82,,
WH-083,The Scattering Through Slavery and Captivity,83,,
WH-084,Biblical Identity and Nations Today,84,,
WH-085,The Reformation and the Bible,85,,
WH-086,The Bible Translated Into English,86,,
WH-087,The King James Bible and World Impact,87,,
WH-088,Colonization and Biblical Worldviews,88,,
WH-089,Slavery in World History and the Bible,89,,
WH-090,Israelites and the Transatlantic Slave Trade (Claims Examined),90,,
WH-091,Biblical Prophecy and Modern Nations,91,,
WH-092,The Ottoman Empire and Jerusalem,92,,
WH-093,World Wars and the Jewish People,93,,
WH-094,The Holocaust in Biblical Perspective,94,,
WH-095,The Rebirth of Israel (1948),95,,
WH-096,Jerusalem in Modern Times,96,,
WH-097,Prophecy and the Nations Today,97,,
WH-098,Global Spread of Christianity,98,,
WH-099,The Bible and Western Law,99,,
WH-100,Biblical Morality and Civilization,100,,
WH-101,The Decline of Nations in Scripture,101,,
WH-102,Why Nations Rise and Fall,102,,
WH-103,God’s Judgment on Empires,103,,
WH-104,Lessons from Ancient Civilizations,104,,
WH-105,The Role of Israel in World History,105,,
WH-106,Zion and the Nations,106,,
WH-107,Jerusalem as the Center of the World,107,,
WH-108,The Times of the Gentiles,108,,
WH-109,Biblical Signs in World Events,109,,
WH-110,Wars and Rumors of Wars,110,,
WH-111,Global Deception and False Peace,111,,
WH-112,The Preservation of Scripture Through Empires,112,,
WH-113,Technology and End-Time Prophecy (Careful Overview),113,,
WH-114,Babylon as a Biblical System,114,,
WH-115,The Spirit of Antichrist Through History,115,,
WH-116,False Religions in World History,116,,
WH-117,God’s Sovereignty Over Kings,117,,
WH-118,Kings Raised Up and Brought Low,118,,
WH-119,World History as God’s Story,119,,
WH-120,The Role of the Remnant Among Nations,120,,
WH-121,Persecution of God’s People Worldwide,121,,
WH-122,The Future of the Nations According to Scripture,122,,
WH-123,Judgment of the Nations,123,,
WH-124,The Kingdom of God Over All Kingdoms,124,,
WH-125,Christ as King Over World History,125,,
WH-126,The New Heaven and New Earth,126,,
WH-127,History Moving Toward God’s Purpose,127,,
WH-128,Living Faithfully in Troubled Times,128,,
WH-129,Learning World History Through Biblical Eyes,129,,
